Species,Parameter,DAF,Reference ,Ovs,Quote,DOI,link,Reason of exclusion ,Tag,Metadata
Human,Dorsal aorta fuses,25.0,"Davis, C. 1923",,"p.39- The fusion is termed complete when the opening is of such a size as to obliterate the original bitubular condition. (p.40,figure 18)(age of ovum: p.8- see table 1)","Carnegie Contrib. to Embryol., 15: 1-51.","the book was not indexed, reachanle at https://babel.hathitrust.org/cgi/pt?id=ien.35558002493746&view=1up&seq=11",,,
Human,Allantois,16.5,"Heuser, C. H., Rock, J., & Hertig, A. T. 1945",,"p.95- The yolk sac terminates in a shallow bay which is directed slightly to the right side of the embryonic axis. The allantois is attached near the mid-line of the bay. Except for a tiny isolated space in one section, the short proximal segment of the allantois is a solid cord of cells. See measurements and age of specimen p.95-96, table 4 and 6.",Contributions to embryology. v.31 yr.1945. p87,"the book was not indexed, reachanle at https://babel.hathitrust.org/cgi/pt?id=uc1.31158001487791&view=1up&seq=134 ",,,
Human,1st and 2nd pharyngeal pouches,23.0,"Heuser, C., 1930",,"p.139, 146- The second pharyngeal pouch also extends out and touches the ectoderm in a few sections. The first pharyngeal pouch on either side shows the invagination on the ventral surface at the lateral edge. (human embryo with 14 pairs of somites). ","Carnegie Contrib. to Embryol., 38: 135-154."," the book was not indexed, reachanle at https://babel.hathitrust.org/cgi/pt?id=ien.35558002495063&view=1up&seq=207",,,
Macaque,2 Cells ,1.25,Lewis and Hartman 1932,,"Otis and Brent (1954), tabla 3, pág.42",---,,non human data,,
Human,Inner neuroblastic layer of retina appears,39.0,"Mann, I., 1928",,"p.450-It may be stated as a general rule that differentiation of nuclei begins in those nearest to the inner surface of the optic cup and spreads gradually outwards. This differentiation is accompained at first by migration of the nuclei towards the inner surface, so that,soon after the beginning of the process, two nuclear layers can be recognised, an inner composed of round nuclei, the inner neuroblastic layer, and and outer composed of oval nuclei. See it on p. 474,fig.23 (section through the retina of a human embryo ofm21 mm)",https://doi.org/10.1136/bjo.12.9.449,,,,
Human,1st nerve fibres in optic stalk,39.0,"Mann, I., 1928",,"Otis and Brent (1954), tabla 3, pág.47",https://doi.org/10.1136/bjo.12.9.449,https://babel.hathitrust.org/cgi/pt?id=uc1.b4100248&seq=1,unreachable original source,,
Human,Ossification centers in frontal and zygomatic,47.0,"Noback,C. and Robertson,G., 1951","Am. J. Anat., 89: 1-28.","p. 8, Table 1.Tabulation of the data on the time of appearance of the facial and calvarial ossificaton centers
appearing during the first 5 prenatal months (explanation of table in text) . The ages which correspond to the CR lengths noted in text ran be gauged by
reference to these data (p. 4)", https://doi.org/10.1002/aja.1000890102,,,,
Mouse,2 Cells ,1.23,Otis and Brent 1954 ,,"Otis and Brent (1954), tabla 3, pág.42",https://doi.org/10.1002/ar.1091200104,,,,
Mouse,Allantois,7.25,Otis and Brent 1954 ,,"Otis and Brent (1954), tabla 3, pág.42",https://doi.org/10.1002/ar.1091200104,,,,
Mouse,Right and left heart primordia,8.33,Otis and Brent 1954 ,,"Otis and Brent (1954), tabla 3, pág.42",https://doi.org/10.1002/ar.1091200104,,,,
